SigU,SigV,SigW,SigT,ustar,wT,ui,vi,V,CD,Tstar,Tavg,L,z_L2,norm_sigU,norm_sigV,norm_sigV,norm_sigT
1.530,0.546,0.328,0.763,0.1760,0.119,1.400,0.353,1.690,0.011,0.674,33.098,-3.591,1.114,8.693,3.102,1.864,1.132
0.573,0.594,0.283,0.762,0.1490,0.086,0.077,0.786,1.020,0.021,0.575,30.441,-2.991,1.337,3.846,3.987,1.899,1.326
0.804,0.668,0.299,1.000,0.1530,0.095,0.494,0.307,1.170,0.017,0.622,33.854,-2.946,1.358,5.255,4.366,1.954,1.607
1.460,0.493,0.354,0.903,0.1680,0.136,0.710,0.131,1.490,0.013,0.809,33.617,-2.730,1.465,8.690,2.935,2.107,1.116
1.390,0.430,0.334,0.801,0.1550,0.111,1.210,0.076,1.430,0.012,0.715,31.664,-2.611,1.532,8.968,2.774,2.155,1.119
1.240,0.398,0.326,0.778,0.1560,0.114,1.050,0.091,1.290,0.015,0.733,31.621,-2.581,1.550,7.949,2.551,2.090,1.061
0.484,0.785,0.294,0.816,0.1580,0.120,0.102,0.322,0.963,0.027,0.762,33.431,-2.564,1.560,3.063,4.968,1.861,1.072
1.140,0.993,0.367,0.748,0.1410,0.103,0.180,0.032,1.680,0.007,0.731,31.784,-2.115,1.891,8.085,7.043,2.603,1.023
0.803,0.401,0.267,0.837,0.1380,0.098,0.549,0.099,0.952,0.021,0.710,31.350,-2.085,1.919,5.819,2.906,1.935,1.180
0.918,0.744,0.318,0.596,0.1260,0.075,0.517,0.398,1.130,0.013,0.592,30.201,-2.076,1.927,7.286,5.905,2.524,1.008
1.350,0.665,0.393,0.889,0.1510,0.141,0.839,0.036,1.670,0.008,0.934,33.776,-1.911,2.093,8.940,4.404,2.603,0.951
1.940,0.619,0.423,0.920,0.1420,0.142,1.690,0.014,2.000,0.005,0.998,36.695,-1.596,2.506,13.662,4.359,2.979,0.921
0.613,0.567,0.295,0.665,0.1210,0.094,0.289,0.274,0.880,0.019,0.781,31.113,-1.456,2.748,5.066,4.686,2.438,0.852
1.130,0.515,0.308,0.802,0.1280,0.120,0.752,0.277,1.230,0.011,0.934,31.470,-1.363,2.935,8.828,4.024,2.406,0.858
0.695,0.522,0.249,0.409,0.0770,0.028,0.064,1.040,1.190,0.004,0.369,31.262,-1.247,3.207,9.026,6.779,3.234,1.107
0.569,0.669,0.293,0.962,0.0979,0.120,0.217,0.421,0.977,0.010,1.229,32.984,-0.609,6.570,5.812,6.834,2.993,0.782
0.542,0.519,0.247,0.610,0.0790,0.066,0.225,0.181,0.765,0.011,0.832,30.592,-0.581,6.879,6.861,6.570,3.127,0.734
