"secDunstable.norm_sigWDunstable" "secDunstable.norm2_sigWDunstable" "secDunstable.norm_sigTDunstable" "Dz_LunstableRand"
"130" 1.153 1.18993690521071 2.936 -0.23
"131" 1.056 1.10479636737341 2.418 -0.131
"132" 1.13 1.18242830134946 3.1 -2
"133" 1.087 1.14350166939429 2.73 -0.275
"134" 1.102 1.15956705855953 2.817 -0.347
"135" 1.074 1.13901366556266 2.505 -0.134
"136" 1.12 1.18899377945274 2.703 -0.146
"137" 1.266 1.35926999817984 4.045 -2.694
"138" 1.099 1.17997663555617 2.218 -0.022
"139" 1.255 1.34592947753292 8.296 -0.303
"140" 1.268 1.36793390722187 4.376 -1.833
"141" 1.275 1.37943999725298 3.372 -0.15
"142" 0.967 1.05337094571785 2.343 -0.232
"143" 1.095 1.19823452828241 2.949 -0.355
"144" 1.315 1.44209422974496 3.709 -0.23
"145" 1.008 1.10782499668682 2.712 -0.09
"146" 1.116 1.2255221144932 3.811 -0.33
"147" 1.034 1.15409397541587 2.54 -0.236
"148" 1.165 1.30277466844719 2.978 -0.168
"149" 1.131 1.26602832307818 2.13 -0.25
"150" 1.561 1.75658844077689 5.115 -0.015
"151" 1.363 1.53581393213101 3.913 -0.231
"152" 0.991 1.11931543490727 3.419 -0.181
"153" 1.239 1.42000512372161 2.894 -0.191
"154" 1.394 1.61210189748073 10.092 -0.332
"155" 1.065 1.22910429311084 3.3 -0.183
"156" 1.18 1.36641945130646 4.5 -0.667
"157" 1.077 1.24377169286085 3.995 -0.093
"158" 1.097 1.2755781930718 5 -0.289
"159" 1.071 1.2445910583055 5.162 -0.122
"160" 1.267 1.47574996504003 2.778 -1.026
"161" 1.171 1.36946753524781 5.128 -0.155
"162" 1.167 1.3717120310541 3.702 -0.023
"163" 1.066 1.26267550126467 5.59 -0.468
"164" 1.258 1.4972399975057 12.653 -0.899
"165" 1.483 1.77081125897651 2.513 -0.115
"166" 1.235 1.47569076953774 4.237 -0.584
"167" 1.171 1.40848791065916 3.279 -0.1
"168" 1.017 1.22777178933437 5.509 -0.582
"169" 1.213 1.46558361022163 4.027 -0.18
"170" 1.365 1.66138332845817 8 -0.708
"171" 1.25 1.5152577146347 8.308 -0.186
"172" 1.014 1.23936362871201 3.074 -0.157
"173" 1.373 1.66250250290159 12.6 -0.532
"174" 1.829 2.28636841371056 3.799 -0.329
"175" 1.171 1.46289699428774 5.245 -0.117
"176" 1.034 1.29621477230173 3.361 -0.378
"177" 1.008 1.275633402527 3.745 -0.178
"178" 1.116 1.40995013133614 9.617 -0.378
"179" 1.227 1.56021948573663 3.915 -0.307
"180" 1.021 1.29880244633195 3.743 -0.013
"181" 0.869 1.10606854097288 3.497 -0.445
"182" 1.674 2.13481927048266 8.519 -0.484
"183" 1.123 1.4416464465097 6.807 -0.103
"184" 1.577 2.04108155507908 26.051 -0.905
"185" 1.647 2.15793946220958 3.366 -0.424
"186" 1.314 1.73248046114685 4.423 -1.205
"187" 1.125 1.48388328247921 6.056 -0.355
"188" 1.64 2.17345267294609 4.264 -0.701
"189" 1.048 1.38692238028634 4.956 -0.112
"190" 1.233 1.64114916054749 2.554 -0.607
"191" 1.143 1.54294356741603 12.957 -0.121
"192" 1.113 1.5185700857619 10.265 -9.992
"193" 1.164 1.60797958626882 6.54 -0.801
"194" 1.696 2.33591549021936 5.282 -0.343
"195" 1.046 1.45587352071824 2.917 -0.042
"196" 1.168 1.6431762737691 6.841 -0.69
"197" 1.033 1.50848070826589 6.311 -0.207
"198" 1.012 1.48082668301674 3.625 -0.323
"199" 1.107 1.65862239001341 3.908 -0.745
"200" 1.083 1.65483977696915 19.035 -0.419
"201" 1.294 2.05588716969793 11.765 -0.103
"202" 0.982 1.57634984013754 7.353 -0.554
"203" 0.916 1.48031316208264 5.244 -1.379
"204" 1.629 2.70993390973804 25.397 -0.43
"205" 1.146 1.90335446662438 10.446 -0.186
"206" 1.353 2.2972734269582 8.621 -1.033
"207" 1.045 1.85196049626011 12.624 -0.499
"208" 1.026 1.83008406299386 14.232 -0.042
"209" 0.929 1.72785141471955 10.117 -0.592
"210" 0.949 1.89497896476098 15.932 -0.406
"211" 0.981 1.98534911387467 16.091 -0.057
"212" 1.12 2.43367744399102 20.872 -0.116
"213" 1.069 2.34802934642004 55.27 -0.037
"214" 1.282 2.94499482234967 63.051 -0.048
"215" 1.591 3.86905078501539 70.229 -0.384
"216" 1.473 3.65204157292712 58.333 -0.007
"217" 1.354 3.60422117099123 13.182 -0.231
"218" 1.32 4.34638797316846 92.574 -0.142
"219" 1.388 4.6289353960364 25.039 -0.198
"220" 1.337 4.44549821703697 163.566 -0.151
"221" 1.537 5.63089666448387 10.2 -1.918
"222" 0.991 3.94589041233225 95.782 -0.582
"223" 1.588 12.131726915198 257.384 -0.663
